epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,272.709,0.79633,1.77041,1.20347,0.83572,0.83158,0.91643,0.76977,0.59589,2.47481,1.14775,0.000651515,0.000651515,0.000651515
2,545.228,0.71709,1.24032,1.11735,0.82077,0.79264,0.88028,0.64825,0.8972,2.42916,1.52692,0.00127468,0.00127468,0.00127468
3,811.805,0.70443,1.15108,1.09528,0.52187,0.875,0.76752,0.57535,0.72736,5.66222,1.29434,0.00185385,0.00185385,0.00185385
4,1069.13,0.76604,1.0843,1.1412,0.8736,0.90385,0.95175,0.75239,0.69408,2.36553,1.28656,0.001802,0.001802,0.001802
5,1310.17,0.71346,0.93887,1.10266,0.91618,0.90385,0.95886,0.78346,0.64894,1.83808,1.15668,0.001736,0.001736,0.001736
6,1538.28,0.716,0.87531,1.09732,0.93797,0.94231,0.97308,0.79631,0.62841,1.09969,1.18644,0.00167,0.00167,0.00167
7,1738.83,0.64965,0.73547,1.06556,0.79941,0.90385,0.94322,0.77817,0.64494,1.12819,1.13123,0.001604,0.001604,0.001604
8,1984.6,0.66809,0.73613,1.07641,0.92424,0.93841,0.96867,0.8298,0.61026,0.96228,1.11348,0.001538,0.001538,0.001538
9,2196.25,0.63215,0.67046,1.0308,0.97174,0.99198,0.99386,0.84747,0.54002,0.72075,1.066,0.001472,0.001472,0.001472
10,2397.38,0.58547,0.60871,1.02233,0.99029,0.98052,0.99239,0.87003,0.55553,0.67321,1.04223,0.001406,0.001406,0.001406
11,2595.99,0.62943,0.64014,1.05197,0.97142,0.98053,0.98839,0.88122,0.54262,0.64255,1.09502,0.00134,0.00134,0.00134
12,2793.53,0.59134,0.60108,1.02825,0.99028,0.97969,0.99355,0.89855,0.51462,0.55314,1.0295,0.001274,0.001274,0.001274
13,2989.31,0.5456,0.56021,1.00683,0.96528,0.97115,0.99132,0.86912,0.47833,0.60042,1.01157,0.001208,0.001208,0.001208
14,3185,0.52543,0.4867,0.98681,0.97907,0.99038,0.99187,0.89978,0.44035,0.49975,0.96068,0.001142,0.001142,0.001142
15,3379.3,0.54924,0.53053,1.01037,0.98901,0.99038,0.98692,0.90449,0.42795,0.47497,0.93775,0.001076,0.001076,0.001076
16,3575.6,0.54168,0.49402,0.99428,0.99047,0.99914,0.99414,0.91627,0.41479,0.42192,0.92707,0.00101,0.00101,0.00101
17,3773.13,0.48672,0.45294,0.98386,0.98718,0.99038,0.995,0.90095,0.39969,0.43342,0.94481,0.000944,0.000944,0.000944
18,3976.3,0.47614,0.42831,0.97159,0.97095,0.99038,0.99298,0.91954,0.383,0.44033,0.93169,0.000878,0.000878,0.000878
19,4178.15,0.47947,0.43135,0.96018,0.98032,0.99038,0.99288,0.91334,0.40333,0.40162,0.93247,0.000812,0.000812,0.000812
20,4384.79,0.48179,0.43318,0.96816,0.98968,0.99038,0.995,0.91391,0.39562,0.38952,0.91983,0.000746,0.000746,0.000746
21,4640.39,0.38409,0.4065,0.90758,0.98975,1,0.995,0.91877,0.38798,0.41259,0.92789,0.00068,0.00068,0.00068
22,4911.63,0.3787,0.39102,0.91871,0.9901,1,0.99471,0.93151,0.35728,0.3554,0.89488,0.000614,0.000614,0.000614
23,5139.31,0.37776,0.36644,0.89122,0.98997,1,0.99452,0.92805,0.35662,0.33753,0.87798,0.000548,0.000548,0.000548
24,5362.57,0.3803,0.34486,0.9105,0.98094,0.98993,0.99452,0.92689,0.37796,0.33307,0.90288,0.000482,0.000482,0.000482
25,5713.85,0.35867,0.33257,0.87521,0.98954,1,0.99071,0.93523,0.37353,0.32882,0.88594,0.000416,0.000416,0.000416
26,5944.26,0.35042,0.31901,0.8882,0.98942,0.99038,0.99029,0.93612,0.33839,0.30279,0.8636,0.00035,0.00035,0.00035
27,6167.35,0.32439,0.29451,0.86273,0.99037,0.9889,0.99423,0.94566,0.32531,0.30181,0.85885,0.000284,0.000284,0.000284
28,6743.55,0.3248,0.28874,0.86683,0.9896,0.99038,0.99462,0.94604,0.32422,0.29994,0.86252,0.000218,0.000218,0.000218
29,6978.73,0.3048,0.27597,0.86172,0.98974,0.99038,0.99471,0.94768,0.31478,0.27993,0.85455,0.000152,0.000152,0.000152
30,7193.73,0.30279,0.27289,0.8727,0.99047,0.99934,0.99481,0.95116,0.3037,0.26698,0.84783,8.6e-05,8.6e-05,8.6e-05
